ts_recorded_data,ts_unix_recorded_data,ts_weather,ts_unix_weather,rain_mm,temp_c
2019-08-13 16:46:19,1565714779,2019-08-17 19:00:00,1566068400,0.0191,16.09
2019-08-13 16:46:19,1565714779,2019-08-17 20:00:00,1566072000,0,14.55
2019-08-13 16:46:19,1565714779,2019-08-17 21:00:00,1566075600,0,13.48
2019-08-13 16:46:19,1565714779,2019-08-17 22:00:00,1566079200,0,12.51
2019-08-13 16:46:19,1565714779,2019-08-17 23:00:00,1566082800,0.0085,11.89
2019-08-13 16:46:19,1565714779,2019-08-18 00:00:00,1566086400,0.0147,11.56
2019-08-13 16:46:19,1565714779,2019-08-18 01:00:00,1566090000,0.0245,11.56
2019-08-13 16:46:19,1565714779,2019-08-18 02:00:00,1566093600,0.0499,11.62
2019-08-13 16:46:19,1565714779,2019-08-18 03:00:00,1566097200,0.0678,11.55
2019-08-13 16:46:19,1565714779,2019-08-18 04:00:00,1566100800,0.049,11.21
2019-08-13 16:46:19,1565714779,2019-08-18 05:00:00,1566104400,0.0213,10.94
2019-08-13 16:46:19,1565714779,2019-08-18 06:00:00,1566108000,0.0093,11.29
2019-08-13 16:46:19,1565714779,2019-08-18 07:00:00,1566111600,0,11.98
2019-08-13 16:46:19,1565714779,2019-08-18 08:00:00,1566115200,0,13.04
2019-08-13 16:46:19,1565714779,2019-08-18 09:00:00,1566118800,0,14.12
2019-08-13 16:46:19,1565714779,2019-08-18 10:00:00,1566122400,0,15.24
2019-08-13 16:46:19,1565714779,2019-08-18 11:00:00,1566126000,0.0103,16.12
2019-08-13 16:46:19,1565714779,2019-08-18 12:00:00,1566129600,0.0212,16.83
2019-08-13 16:46:19,1565714779,2019-08-18 13:00:00,1566133200,0.0261,17.46
2019-08-13 16:46:19,1565714779,2019-08-18 14:00:00,1566136800,0.0264,17.95
2019-08-13 16:46:19,1565714779,2019-08-18 15:00:00,1566140400,0.0278,18.1
2019-08-13 16:46:19,1565714779,2019-08-18 16:00:00,1566144000,0.0311,17.71
2019-08-13 16:46:19,1565714779,2019-08-18 17:00:00,1566147600,0.0349,16.87
2019-08-13 16:46:19,1565714779,2019-08-18 18:00:00,1566151200,0.0328,16.25
2019-08-13 16:46:19,1565714779,2019-08-18 19:00:00,1566154800,0.0206,15.6
2019-08-13 16:46:19,1565714779,2019-08-18 20:00:00,1566158400,0.0088,14.77
2019-08-13 16:46:19,1565714779,2019-08-18 21:00:00,1566162000,0.0065,14.02
2019-08-13 16:46:19,1565714779,2019-08-18 22:00:00,1566165600,0.0149,13.18
2019-08-13 16:46:19,1565714779,2019-08-18 23:00:00,1566169200,0.0335,12.71
2019-08-13 16:46:19,1565714779,2019-08-19 00:00:00,1566172800,0.0489,12.4
2019-08-13 16:46:19,1565714779,2019-08-19 01:00:00,1566176400,0.0457,12.36
2019-08-13 16:46:19,1565714779,2019-08-19 02:00:00,1566180000,0.0368,12.3
2019-08-13 16:46:19,1565714779,2019-08-19 03:00:00,1566183600,0.0314,12.3
2019-08-13 16:46:19,1565714779,2019-08-19 04:00:00,1566187200,0.0224,12.11
2019-08-13 16:46:19,1565714779,2019-08-19 05:00:00,1566190800,0.0139,12.12
2019-08-13 16:46:19,1565714779,2019-08-19 06:00:00,1566194400,0.0102,12.37
2019-08-13 16:46:19,1565714779,2019-08-19 07:00:00,1566198000,0.01,12.82
2019-08-13 16:46:19,1565714779,2019-08-19 08:00:00,1566201600,0.0109,13.43
2019-08-13 16:46:19,1565714779,2019-08-19 09:00:00,1566205200,0.0109,14.13
2019-08-13 16:46:19,1565714779,2019-08-19 10:00:00,1566208800,0.0079,15.1
2019-08-13 16:46:19,1565714779,2019-08-19 11:00:00,1566212400,0.0175,16.14
2019-08-13 16:46:19,1565714779,2019-08-19 12:00:00,1566216000,0.0339,16.9
2019-08-13 16:46:19,1565714779,2019-08-19 13:00:00,1566219600,0.0413,17.6
2019-08-13 16:46:19,1565714779,2019-08-19 14:00:00,1566223200,0.0574,18.09
2019-08-13 16:46:19,1565714779,2019-08-19 15:00:00,1566226800,0.0747,18.27
2019-08-13 16:46:19,1565714779,2019-08-19 16:00:00,1566230400,0.0652,17.91
2019-08-13 16:46:19,1565714779,2019-08-19 17:00:00,1566234000,0.045,17.21
2019-08-13 16:46:19,1565714779,2019-08-19 18:00:00,1566237600,0.031,16.51
2019-08-13 16:46:19,1565714779,2019-08-19 19:00:00,1566241200,0.0204,15.65
2019-08-13 16:46:19,1565714779,2019-08-19 20:00:00,1566244800,0.014,14.57
2019-08-13 16:46:19,1565714779,2019-08-19 21:00:00,1566248400,0.0126,13.45
2019-08-13 16:46:19,1565714779,2019-08-19 22:00:00,1566252000,0.0068,12.52
2019-08-13 16:46:19,1565714779,2019-08-19 23:00:00,1566255600,0.0058,12.05
2019-08-13 16:46:19,1565714779,2019-08-20 00:00:00,1566259200,0.0094,11.8
2019-08-13 16:46:19,1565714779,2019-08-20 01:00:00,1566262800,0.0079,11.65
2019-08-13 16:46:19,1565714779,2019-08-20 02:00:00,1566266400,0.0077,11.49
2019-08-13 16:46:19,1565714779,2019-08-20 03:00:00,1566270000,0.0083,11.32
2019-08-13 16:46:19,1565714779,2019-08-20 04:00:00,1566273600,0,11.1
2019-08-13 16:46:19,1565714779,2019-08-20 05:00:00,1566277200,0,11.25
2019-08-13 16:46:19,1565714779,2019-08-20 06:00:00,1566280800,0,11.67
2019-08-13 16:46:19,1565714779,2019-08-20 07:00:00,1566284400,0,12.51
2019-08-13 16:46:19,1565714779,2019-08-20 08:00:00,1566288000,0,13.58
2019-08-13 16:46:19,1565714779,2019-08-20 09:00:00,1566291600,0,14.45
2019-08-13 16:46:19,1565714779,2019-08-20 10:00:00,1566295200,0.0157,15.12
2019-08-13 16:46:19,1565714779,2019-08-20 11:00:00,1566298800,0.0714,15.72
2019-08-13 16:46:19,1565714779,2019-08-20 12:00:00,1566302400,0.119,16.05
2019-08-13 16:46:19,1565714779,2019-08-20 13:00:00,1566306000,0.0851,16.86
2019-08-13 16:46:19,1565714779,2019-08-20 14:00:00,1566309600,0.0305,17.59
2019-08-13 16:46:19,1565714779,2019-08-20 15:00:00,1566313200,0.0095,18.29
2019-08-13 16:46:19,1565714779,2019-08-20 16:00:00,1566316800,0.0342,18.14
