,ts_recorded_data,ts_unix_recorded_data,ts_weather,ts_unix_weather,rain_mm,temp_c
124,2019-08-05 09:59:54,1564999194,2019-08-10 13:00:00,1565442000,0.1415,17.76
125,2019-08-05 09:59:54,1564999194,2019-08-10 14:00:00,1565445600,0.0615,18.38
126,2019-08-05 09:59:54,1564999194,2019-08-10 15:00:00,1565449200,0.026,18.82
127,2019-08-05 09:59:54,1564999194,2019-08-10 16:00:00,1565452800,0.0241,18.54
128,2019-08-05 09:59:54,1564999194,2019-08-10 17:00:00,1565456400,0.0363,17.91
129,2019-08-05 09:59:54,1564999194,2019-08-10 18:00:00,1565460000,0.0475,17.1
130,2019-08-05 09:59:54,1564999194,2019-08-10 19:00:00,1565463600,0.0443,16.34
131,2019-08-05 09:59:54,1564999194,2019-08-10 20:00:00,1565467200,0.0389,15.27
132,2019-08-05 09:59:54,1564999194,2019-08-10 21:00:00,1565470800,0.0392,14.36
133,2019-08-05 09:59:54,1564999194,2019-08-10 22:00:00,1565474400,0.0562,13.67
134,2019-08-05 09:59:54,1564999194,2019-08-10 23:00:00,1565478000,0.0973,13.15
135,2019-08-05 09:59:54,1564999194,2019-08-11 00:00:00,1565481600,0.1166,12.78
136,2019-08-05 09:59:54,1564999194,2019-08-11 01:00:00,1565485200,0.063,12.36
137,2019-08-05 09:59:54,1564999194,2019-08-11 02:00:00,1565488800,0.0113,11.97
138,2019-08-05 09:59:54,1564999194,2019-08-11 03:00:00,1565492400,0,11.6
139,2019-08-05 09:59:54,1564999194,2019-08-11 04:00:00,1565496000,0,11.13
140,2019-08-05 09:59:54,1564999194,2019-08-11 05:00:00,1565499600,0.0123,10.82
141,2019-08-05 09:59:54,1564999194,2019-08-11 06:00:00,1565503200,0.0276,11.25
142,2019-08-05 09:59:54,1564999194,2019-08-11 07:00:00,1565506800,0.025,12.69
143,2019-08-05 09:59:54,1564999194,2019-08-11 08:00:00,1565510400,0.0172,14.54
144,2019-08-05 09:59:54,1564999194,2019-08-11 09:00:00,1565514000,0.0131,15.86
145,2019-08-05 09:59:54,1564999194,2019-08-11 10:00:00,1565517600,0.0183,16.72
146,2019-08-05 09:59:54,1564999194,2019-08-11 11:00:00,1565521200,0.0489,17.28
147,2019-08-05 09:59:54,1564999194,2019-08-11 12:00:00,1565524800,0.1125,17.61
148,2019-08-05 09:59:54,1564999194,2019-08-11 13:00:00,1565528400,0.2217,17.73
149,2019-08-05 09:59:54,1564999194,2019-08-11 14:00:00,1565532000,0.39,17.38
150,2019-08-05 09:59:54,1564999194,2019-08-11 15:00:00,1565535600,0.58,16.84
151,2019-08-05 09:59:54,1564999194,2019-08-11 16:00:00,1565539200,0.7888,16.23
152,2019-08-05 09:59:54,1564999194,2019-08-11 17:00:00,1565542800,1.0449,15.8
153,2019-08-05 09:59:54,1564999194,2019-08-11 18:00:00,1565546400,1.2218,15.45
154,2019-08-05 09:59:54,1564999194,2019-08-11 19:00:00,1565550000,1.172,15.04
155,2019-08-05 09:59:54,1564999194,2019-08-11 20:00:00,1565553600,0.9864,14.37
156,2019-08-05 09:59:54,1564999194,2019-08-11 21:00:00,1565557200,0.7849,13.45
157,2019-08-05 09:59:54,1564999194,2019-08-11 22:00:00,1565560800,0.5717,12.74
158,2019-08-05 09:59:54,1564999194,2019-08-11 23:00:00,1565564400,0.3758,12.19
159,2019-08-05 09:59:54,1564999194,2019-08-12 00:00:00,1565568000,0.2592,11.7
160,2019-08-05 09:59:54,1564999194,2019-08-12 01:00:00,1565571600,0.1965,11.42
161,2019-08-05 09:59:54,1564999194,2019-08-12 02:00:00,1565575200,0.1874,11.23
162,2019-08-05 09:59:54,1564999194,2019-08-12 03:00:00,1565578800,0.2172,11.11
163,2019-08-05 09:59:54,1564999194,2019-08-12 04:00:00,1565582400,0.2952,10.87
164,2019-08-05 09:59:54,1564999194,2019-08-12 05:00:00,1565586000,0.459,10.57
165,2019-08-05 09:59:54,1564999194,2019-08-12 06:00:00,1565589600,0.5261,10.73
166,2019-08-05 09:59:54,1564999194,2019-08-12 07:00:00,1565593200,0.3112,11.63
167,2019-08-05 09:59:54,1564999194,2019-08-12 08:00:00,1565596800,0.0779,12.64
168,2019-08-05 09:59:54,1564999194,2019-08-12 09:00:00,1565600400,0.0062,13.54
